18:23, Thursday, August 05, 2021
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X(mm)  ,Y(mm)  ,Z(mm)  ,URES(mm)
13220  ,-8.12944  ,-190.422  ,-9.5  ,3.18695e-01
12574  ,-103.25  ,-188.456  ,-28.5  ,3.18692e-01
13140  ,-68.2987  ,-190.422  ,-26.5  ,3.18691e-01
15444  ,-61.25  ,-183.041  ,4  ,3.18683e-01
9100  ,52.5  ,-192.5  ,0  ,3.18682e-01
15346  ,-67.2142  ,-186.378  ,-9.88619  ,3.18677e-01
9839  ,0.931421  ,-188.456  ,0  ,3.18658e-01
11673  ,-34.6652  ,-188.456  ,-9.5  ,3.18655e-01
15478  ,35.1324  ,-190.478  ,2  ,3.18649e-01
13295  ,-43.7768  ,-192.387  ,-28.5  ,3.18613e-01
15488  ,61.25  ,-192.5  ,2  ,3.18605e-01
13320  ,-101.896  ,-190.422  ,-38  ,3.18586e-01
9072  ,70  ,-192.5  ,4  ,3.18525e-01
13223  ,-8.77429  ,-192.387  ,-19  ,3.18521e-01
14339  ,-93.8639  ,-181.02  ,2  ,3.18519e-01
13349  ,-192.538  ,-183.641  ,-38  ,3.18516e-01
13149  ,-35.4773  ,-190.422  ,-19  ,3.18486e-01
12583  ,-125.69  ,-188.456  ,-38  ,3.18477e-01
9446  ,-70.0287  ,-192.387  ,-38  ,3.18470e-01
15325  ,-0.0118206  ,-190.478  ,-9.5  ,3.18456e-01
13139  ,-60.2987  ,-190.422  ,-26.5  ,3.18446e-01
15437  ,-76.2843  ,-182.031  ,2  ,3.18436e-01
15316  ,26.236  ,-192.387  ,-9.5  ,3.18429e-01
12327  ,-112.812  ,-180.009  ,0  ,3.18424e-01
15445  ,-52.5  ,-183.041  ,4  ,3.18417e-01
15313  ,35.1324  ,-190.478  ,0  ,3.18404e-01
12576  ,-90.6652  ,-188.456  ,-27.5  ,3.18396e-01
11690  ,9.51475  ,-188.456  ,0  ,3.18375e-01
11674  ,-25.689  ,-188.456  ,-9.5  ,3.18375e-01
15309  ,61.25  ,-192.5  ,0  ,3.18360e-01
